student_id,cgpa_sem1,cgpa_sem2,cgpa_sem3
1,7.34,7.56,7.89
2,4.45,4.67,4.89
3,3.78,3.89,4.12
4,8.91,9.12,9.34
5,6.67,6.88,7.12
6,5.23,5.01,5.34
7,9.56,9.67,9.78
8,5.89,6.12,6.34
9,3.56,3.89,4.23
10,8.45,8.67,8.89
11,7.12,7.45,7.78
12,4.89,5.23,5.56
13,9.23,9.34,9.45
14,6.45,6.78,7.01
15,4.34,4.56,4.78
16,8.78,8.91,9.12
17,7.89,7.67,7.45
18,5.67,5.89,6.12
19,9.45,9.56,9.67
20,5.34,5.12,4.89
21,3.89,4.23,4.56
22,8.34,8.45,8.56
23,7.56,7.34,7.12
24,6.78,6.59,6.45
25,9.78,9.89,9.95
26,4.78,5.12,5.45
27,6.12,6.34,6.59
28,8.23,8.34,8.45
29,7.45,7.78,8.01
30,4.67,5.01,5.34
31,9.34,9.45,9.56
32,6.59,6.34,6.12
33,5.45,5.78,6.01
34,8.88,9.01,9.12
35,7.78,8.05,8.23
36,3.67,3.45,3.89
37,9.12,9.23,9.34
38,6.88,7.12,7.34
39,4.56,4.34,4.78
40,8.67,8.78,8.91
41,8.05,8.23,8.45
42,6.01,6.23,6.45
43,9.67,9.78,9.89
44,6.34,6.01,5.78
45,4.23,4.56,4.89
46,8.56,8.67,8.78
47,7.23,7.56,7.89
48,5.12,4.89,5.23
49,9.89,9.95,10.00
50,7.01,7.34,7.67
51,3.45,3.78,4.12
52,8.34,8.45,8.56
53,7.89,8.12,8.34
54,5.01,4.89,5.34
55,9.45,9.56,9.67
56,6.78,7.01,7.23
57,4.89,5.23,5.56
58,8.91,9.01,9.12
59,7.67,7.45,7.23
60,5.78,6.01,6.23
61,9.23,9.34,9.45
62,6.45,6.23,6.01
63,4.12,4.45,4.78
64,8.67,8.78,8.91
65,7.34,7.67,7.98
66,5.56,5.34,5.12
67,9.78,9.89,9.95
68,6.23,6.45,6.67
69,3.98,4.34,4.67
70,8.45,8.56,8.67
71,8.12,8.34,8.56
72,5.89,6.12,6.34
73,9.56,9.67,9.78
74,6.88,7.12,7.34
75,3.78,4.12,4.45
76,9.01,9.12,9.23
77,7.56,7.89,8.12
78,6.12,6.34,6.59
79,9.78,9.89,10.00
80,6.59,6.34,6.12
81,4.67,5.01,5.34
82,8.23,8.34,8.45
83,7.45,7.23,7.01
84,5.34,5.67,5.89
85,9.34,9.45,9.56
86,7.12,7.34,7.56
87,4.23,4.56,4.89
88,8.78,8.91,9.01
89,7.89,8.12,8.34
90,5.23,5.01,4.89
91,9.67,9.78,9.89
92,6.34,6.59,6.88
93,4.56,4.89,5.12
94,8.56,8.67,8.78
95,8.05,8.23,8.45
96,5.67,5.89,6.12
97,9.89,9.95,10.00
98,6.45,6.67,6.89
99,3.56,3.89,4.23
100,8.91,9.01,9.12
101,7.23,7.56,7.89
102,4.34,4.67,5.01
103,9.12,9.34,9.56
104,6.78,6.45,6.23
105,5.45,5.78,6.12
106,8.67,8.78,8.91
107,7.98,8.23,8.45
108,3.89,4.23,4.56
109,9.78,9.89,9.95
110,6.59,6.88,7.12
111,5.01,4.89,5.23
112,8.45,8.56,8.67
113,7.34,7.67,7.98
114,4.89,5.23,5.56
115,9.56,9.67,9.78
116,6.23,6.45,6.67
117,3.67,3.89,4.23
118,8.34,8.45,8.56
119,7.89,8.12,8.34
120,5.67,5.89,6.12
121,9.45,9.56,9.67
122,6.88,7.12,7.34
123,4.23,4.56,4.89
124,8.91,9.01,9.12
125,7.56,7.89,8.12
126,5.34,5.12,5.01
127,9.89,9.95,10.00
128,6.45,6.23,6.01
129,4.56,4.89,5.23
130,8.78,8.91,9.01
131,7.12,7.45,7.78
132,5.23,5.56,5.89
133,9.34,9.45,9.56
134,6.67,6.88,7.12
135,3.78,4.12,4.45
136,8.23,8.34,8.45
137,7.98,8.23,8.45
138,5.89,6.12,6.34
139,9.67,9.78,9.89
140,6.34,6.01,5.78
141,4.45,4.78,5.12
142,8.56,8.67,8.78
143,7.45,7.78,8.01
144,5.12,4.89,5.23
145,9.23,9.34,9.45
146,6.78,7.01,7.23
147,3.56,3.89,4.23
148,8.91,9.01,9.12
149,7.67,7.45,7.23
150,5.78,6.01,6.23
151,9.78,9.89,9.95
152,6.59,6.88,7.12
153,4.67,5.01,5.34
154,8.45,8.56,8.67
155,7.34,7.67,7.98
156,5.45,5.23,5.01
157,9.56,9.67,9.78
158,6.23,6.45,6.67
159,3.89,4.23,4.56
160,8.34,8.45,8.56
161,7.89,8.12,8.34
162,5.01,4.89,5.23
163,9.45,9.56,9.67
164,6.88,7.12,7.34
165,4.34,4.67,5.01
166,8.67,8.78,8.91
167,7.56,7.89,8.12
168,5.67,5.89,6.12
169,9.89,9.95,10.00
170,6.45,6.23,6.01
171,3.78,4.12,4.45
172,8.23,8.34,8.45
173,7.12,7.45,7.78
174,5.34,5.67,5.89
175,9.34,9.45,9.56
176,6.78,7.01,7.23
177,4.23,4.56,4.89
178,8.91,9.01,9.12
179,7.98,8.23,8.45
180,5.89,6.12,6.34
181,9.67,9.78,9.89
182,6.59,6.34,6.12
183,4.56,4.89,5.23
184,8.56,8.67,8.78
185,7.45,7.78,8.01
186,5.23,5.01,4.89
187,9.23,9.34,9.45
188,6.34,6.59,6.88
189,3.67,3.89,4.23
190,8.45,8.56,8.67
191,7.89,8.12,8.34
192,5.12,5.34,5.56
193,9.78,9.89,9.95
194,6.88,7.12,7.34
195,4.45,4.78,5.12
196,8.34,8.45,8.56
197,7.56,7.89,8.12
198,5.67,5.45,5.23
